member_id,committee_id,party_id,bill_id,bill_title,committee_history.committee_1,committee_history.committee_2,committee_history.committee_1_start_date,committee_history.committee_1_end_date,committee_history.committee_2_start_date,committee_history.committee_2_end_date,party_history.party_1,party_history.party_1_start_date,party_history.party_1_end_date,party_history.party_2,party_history.party_2_start_date,party_history.party_2_end_date,name,gender,district,member_start_date,member_end_date,birthyear
TKJ4800F,"법제사법위원회, 성평등가족위원회",/더불어민주당/더불어민주당/더불어민주당,0,,"법제사법위원회, 성평등가족위원회","법제사법위원회, 성평등가족위원회",,,,,/더불어민주당/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당/더불어민주당,,,서영교,여,서울 중랑구갑/서울 중랑구갑/서울 중랑구갑/서울 중랑구갑,,,
XR24352K,보건복지위원회,더불어민주당/더불어민주당,0,,보건복지위원회,보건복지위원회,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,서영석,남,경기 부천시정/경기 부천시갑,,,
MR210505,산업통상자원중소벤처기업위원회,미래통합당/국민의힘,0,,산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,서일준,남,경남 거제시/경남 거제시,,,
WFU14784,,미래한국당,0,,,,,,,,미래한국당,,,미래한국당,,,서정숙,여,비례대표,,,
OW53107J,,///더불어민주당/더불어민주당,0,,,,,,,,///더불어민주당/더불어민주당,,,///더불어민주당/더불어민주당,,,설훈,남,서울 도봉구을/서울특별시 도봉구을/경기 부천시원미구을/경기 부천시원미구을/경기 부천시을,,,
7XY7109I,국방위원회,/미래통합당/국민의힘,0,,국방위원회,국방위원회,,,,,/미래통합당/국민의힘,,,/미래통합당/국민의힘,,,성일종,남,충남 서산시태안군/충남 서산시태안군/충남 서산시태안군,,,
17M85910,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,소병철,남,전남 순천시광양시곡성군구례군갑,,,
ZDR63255,보건복지위원회,더불어민주당/더불어민주당/더불어민주당,0,,보건복지위원회,보건복지위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,소병훈,남,경기 광주시갑/경기 광주시갑/경기 광주시갑,,,
RD42006Y,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,송갑석,남,광주 서구갑/광주 서구갑,,,
SQ36001H,"국토교통위원회, 예산결산특별위원회",더불어민주당/더불어민주당/더불어민주당,0,,"국토교통위원회, 예산결산특별위원회","국토교통위원회, 예산결산특별위원회",,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,송기헌,남,강원 원주시을/강원 원주시을/강원 원주시을,,,
